Venezuela (Bolivarian Republic of),Variable Name,Year,Value,Symbol
0,Total area of the country (excl. coastal water),1962,91205.0,X
1,Total area of the country (excl. coastal water),1967,91205.0,X
2,Total area of the country (excl. coastal water),1972,91205.0,X
3,Total area of the country (excl. coastal water),1977,91205.0,X
4,Total area of the country (excl. coastal water),1982,91205.0,X
5,Total area of the country (excl. coastal water),1987,91205.0,X
6,Total area of the country (excl. coastal water),1992,91205.0,X
7,Total area of the country (excl. coastal water),1997,91205.0,X
8,Total area of the country (excl. coastal water),2002,91205.0,X
9,Total area of the country (excl. coastal water),2007,91205.0,X
10,Total area of the country (excl. coastal water),2012,91205.0,X
11,Total area of the country (excl. coastal water),2017,91205.0,E
12,Total area of the country (excl. coastal water),2018,91205.0,E
13,Cultivated area (arable land + permanent crops),1962,3482.0,X
14,Cultivated area (arable land + permanent crops),1967,3496.0,X
15,Cultivated area (arable land + permanent crops),1972,3465.0,X
16,Cultivated area (arable land + permanent crops),1977,3620.0,X
17,Cultivated area (arable land + permanent crops),1982,3560.0,X
18,Cultivated area (arable land + permanent crops),1987,3860.0,X
19,Cultivated area (arable land + permanent crops),1992,3362.0,X
20,Cultivated area (arable land + permanent crops),1997,3396.0,X
21,Cultivated area (arable land + permanent crops),2002,3300.0,X
22,Cultivated area (arable land + permanent crops),2007,3359.0,X
23,Cultivated area (arable land + permanent crops),2012,3300.0,X
24,Cultivated area (arable land + permanent crops),2017,3300.0,X
25,Cultivated area (arable land + permanent crops),2018,3300.0,X
26,Total population,1962,8742.777,X
27,Total population,1967,10359.745,X
28,Total population,1972,12097.694,X
29,Total population,1977,13964.379,X
30,Total population,1982,16017.573,X
31,Total population,1987,18232.73,X
32,Total population,1992,20557.683,X
33,Total population,1997,22837.743,X
34,Total population,2002,25100.408,X
35,Total population,2007,27247.61,X
36,Total population,2012,29360.837,X
37,Total population,2017,29402.484,X
38,Total population,2018,28887.118,X
39,Rural population,1962,3170.525,X
40,Rural population,1967,3263.155,X
41,Rural population,1972,3246.703,X
42,Rural population,1977,3222.719,X
43,Rural population,1982,3175.374,X
44,Rural population,1987,3152.86,X
45,Rural population,1992,3117.393,X
46,Rural population,1997,3085.137,X
47,Rural population,2002,3080.534,X
48,Rural population,2007,3321.466,X
49,Rural population,2012,3550.466,X
50,Rural population,2017,3778.814,X
51,Rural population,2018,3818.502,X
52,Urban population,1962,5620.064,X
53,Urban population,1967,7264.899,X
54,Urban population,1972,9039.736,X
55,Urban population,1977,10905.068,X
56,Urban population,1982,13010.52,X
57,Urban population,1987,15284.934,X
58,Urban population,1992,17681.682,X
59,Urban population,1997,20025.041,X
60,Urban population,2002,22328.166,X
61,Urban population,2007,24370.499,X
62,Urban population,2012,26342.614,X
63,Urban population,2017,28198.251,X
64,Urban population,2018,28562.719,X
65,Gender Inequality Index (GII) [equality = 0; inequality = 1),2007,0.472,I
66,Gender Inequality Index (GII) [equality = 0; inequality = 1),2012,0.4656666667,I
67,Gender Inequality Index (GII) [equality = 0; inequality = 1),2017,0.4759,I
68,Gender Inequality Index (GII) [equality = 0; inequality = 1),2018,0.4759,I
69,Gross Domestic Product (GDP),1962,9873397859.0,X
70,Gross Domestic Product (GDP),1967,10472776744.0,X
71,Gross Domestic Product (GDP),1972,16729698140.0,X
72,Gross Domestic Product (GDP),1977,42354954186.0,X
73,Gross Domestic Product (GDP),1982,79230362326.0,X
74,Gross Domestic Product (GDP),1987,46477177517.0,X
75,Gross Domestic Product (GDP),1992,58464413010.0,X
76,Gross Domestic Product (GDP),1997,85837778839.0,X
77,Gross Domestic Product (GDP),2002,92889443990.0,X
78,Gross Domestic Product (GDP),2007,230364229157.0,X
79,Gross Domestic Product (GDP),2012,381285990721.0,X
80,Gross Domestic Product (GDP),2014,363480401902.0,X
81,GDP per capita,1972,1361.639295,X
82,GDP per capita,1977,2997.989295,X
83,GDP per capita,1982,4895.025405,X
84,GDP per capita,1987,2520.755873,X
85,GDP per capita,1992,2810.914092,X
86,GDP per capita,1997,3714.284626,X
87,GDP per capita,2002,3655.812536,X
88,GDP per capita,2007,8318.81122,X
89,GDP per capita,2012,12754.991815,X
90,GDP per capita,2017,7756.479109,X
91,GDP per capita,2018,6433.928949,X
92,"Agriculture, value added (% GDP)",1962,4.903,X
93,"Agriculture, value added (% GDP)",1967,5.876,X
94,"Agriculture, value added (% GDP)",1972,5.15818,X
95,"Agriculture, value added (% GDP)",1977,4.836587,X
96,"Agriculture, value added (% GDP)",1982,4.930102,X
97,"Agriculture, value added (% GDP)",1987,6.668578,X
98,"Agriculture, value added (% GDP)",1992,5.791464,X
99,"Agriculture, value added (% GDP)",1997,4.495484,X
100,"Agriculture, value added (% GDP)",2002,3.847051,X
101,"Agriculture, value added (% GDP)",2007,3.813527,X
102,"Agriculture, value added (% GDP)",2012,5.016375,X
103,"Agriculture, value added (% GDP)",2017,5.322992,X
104,"Agriculture, value added (% GDP)",2018,5.421738,X
105,"Agriculture, value added to GDP",1962,458696970.0,X
106,"Agriculture, value added to GDP",1967,582533333.0,X
107,"Agriculture, value added to GDP",1969,729288889.0,X
108,Number of people undernourished (3-year average),1992,2800.0,X
109,Number of people undernourished (3-year average),1997,3600.0,X
110,Number of people undernourished (3-year average),2002,3700.0,X
111,Number of people undernourished (3-year average),2007,1900.0,X
112,Number of people undernourished (3-year average),2012,700.0,X
113,Prevalence of undernourishment (3-year average),1992,14.1,X
114,Prevalence of undernourishment (3-year average),1997,16.0,X
115,Prevalence of undernourishment (3-year average),2001,16.4,X
116,Prevalence of undernourishment (3-year average),2012,2.5,X
117,Total population with access to safe drinking-water (JMP),1992,89.3,X
118,Total population with access to safe drinking-water (JMP),1997,90.4,X
119,Total population with access to safe drinking-water (JMP),2002,91.5,X
120,Total population with access to safe drinking-water (JMP),2007,92.2,X
121,Total population with access to safe drinking-water (JMP),2012,92.9,X
122,Total population with access to safe drinking-water (JMP),2017,93.1,I
123,Total population with access to safe drinking-water (JMP),2018,93.1,I
124,Population affected by water related disease,1997,22.06,I
125,Population affected by water related disease,2002,22.06,I
126,Population affected by water related disease,2007,22.06,I
127,Population affected by water related disease,2012,22.06,I
128,Population affected by water related disease,2017,22.06,I
129,Population affected by water related disease,2018,22.06,I
130,Long-term average annual precipitation in volume,1962,1864.0,OF
131,Long-term average annual precipitation in volume,1967,1864.0,OF
132,Long-term average annual precipitation in volume,1972,1864.0,OF
133,Long-term average annual precipitation in volume,1977,1864.0,OF
134,Long-term average annual precipitation in volume,1982,1864.0,OF
135,Long-term average annual precipitation in volume,1987,1864.0,OF
136,Long-term average annual precipitation in volume,1992,1864.0,OF
137,Long-term average annual precipitation in volume,1997,1864.0,OF
138,Long-term average annual precipitation in volume,2002,1864.0,OF
139,Long-term average annual precipitation in volume,2007,1864.0,OF
140,Long-term average annual precipitation in volume,2012,1864.0,OF
141,Long-term average annual precipitation in volume,2017,1864.0,OF
142,Long-term average annual precipitation in volume,2018,1864.2302,E
143,Interannual variability (WRI),2017,2.7,I
144,Interannual variability (WRI),2018,2.7,I
145,Seasonal variability (WRI),2017,2.3,I
146,Seasonal variability (WRI),2018,2.3,I
147,Flood occurrence (WRI),2017,2.7,I
148,Flood occurrence (WRI),2018,2.7,I
160,Surface water: entering the country (total),2017,495.0,OF
172,Surface water: leaving the country to other countries (total),2017,160.0,OF
173,Groundwater: entering the country (total),1962,0.0,OF
174,Groundwater: entering the country (total),1967,0.0,OF
175,Groundwater: entering the country (total),1972,0.0,OF
176,Groundwater: entering the country (total),1977,0.0,OF
177,Groundwater: entering the country (total),1982,0.0,OF
178,Groundwater: entering the country (total),1987,0.0,OF
179,Groundwater: entering the country (total),1992,0.0,OF
180,Groundwater: entering the country (total),1997,0.0,OF
181,Groundwater: entering the country (total),2002,0.0,OF
182,Groundwater: entering the country (total),2007,0.0,OF
183,Groundwater: entering the country (total),2012,0.0,OF
184,Groundwater: entering the country (total),2017,0.0,OF
185,Groundwater: leaving the country to other countries (total),1962,0.0,OF
186,Groundwater: leaving the country to other countries (total),1967,0.0,OF
187,Groundwater: leaving the country to other countries (total),1972,0.0,OF
188,Groundwater: leaving the country to other countries (total),1977,0.0,OF
189,Groundwater: leaving the country to other countries (total),1982,0.0,OF
190,Groundwater: leaving the country to other countries (total),1987,0.0,OF
191,Groundwater: leaving the country to other countries (total),1992,0.0,OF
192,Groundwater: leaving the country to other countries (total),1997,0.0,OF
193,Groundwater: leaving the country to other countries (total),2002,0.0,OF
194,Groundwater: leaving the country to other countries (total),2007,0.0,OF
195,Groundwater: leaving the country to other countries (total),2012,0.0,OF
196,Groundwater: leaving the country to other countries (total),2017,0.0,OF
197,Dependency ratio,1962,39.2452830189,E
198,Dependency ratio,1967,39.2452830189,E
199,Dependency ratio,1972,39.2452830189,E
200,Dependency ratio,1977,39.2452830189,E
201,Dependency ratio,1982,39.2452830189,E
202,Dependency ratio,1987,39.2452830189,E
203,Dependency ratio,1992,39.2452830189,E
204,Dependency ratio,1997,39.2452830189,E
205,Dependency ratio,2002,39.2452830189,E
206,Dependency ratio,2007,39.2452830189,E
207,Dependency ratio,2012,39.2452830189,E
208,Dependency ratio,2017,39.2452830189,E
209,Dependency ratio,2018,39.2452830189,E
210,Total internal renewable water resources (IRWR),1962,805.0,E
211,Total internal renewable water resources (IRWR),1967,805.0,E
212,Total internal renewable water resources (IRWR),1972,805.0,E
213,Total internal renewable water resources (IRWR),1977,805.0,E
214,Total internal renewable water resources (IRWR),1982,805.0,E
215,Total internal renewable water resources (IRWR),1987,805.0,E
216,Total internal renewable water resources (IRWR),1992,805.0,E
217,Total internal renewable water resources (IRWR),1997,805.0,E
218,Total internal renewable water resources (IRWR),2002,805.0,E
219,Total internal renewable water resources (IRWR),2007,805.0,E
220,Total internal renewable water resources (IRWR),2012,805.0,E
221,Total internal renewable water resources (IRWR),2017,805.0,E
222,Total internal renewable water resources (IRWR),2018,805.0,E
223,Total internal renewable water resources per capita,1962,92076.0074287609,E
224,Total internal renewable water resources per capita,1967,77704.6153163036,E
225,Total internal renewable water resources per capita,1972,66541.6070203131,E
226,Total internal renewable water resources per capita,1977,57646.6737260568,E
227,Total internal renewable water resources per capita,1982,50257.3017772418,E
228,Total internal renewable water resources per capita,1987,44151.3695425754,E
229,Total internal renewable water resources per capita,1992,39158.1094036716,E
230,Total internal renewable water resources per capita,1997,35248.667085885,E
231,Total internal renewable water resources per capita,2002,32071.191830826,E
232,Total internal renewable water resources per capita,2007,29543.8755912904,E
233,Total internal renewable water resources per capita,2012,27417.4745086456,E
234,Total internal renewable water resources per capita,2017,27378.6391653168,E
235,Total internal renewable water resources per capita,2018,27867.0928681774,E
236,Total renewable surface water,1962,1302.7,E
237,Total renewable surface water,1967,1302.7,E
238,Total renewable surface water,1972,1302.7,E
239,Total renewable surface water,1977,1302.7,E
240,Total renewable surface water,1982,1302.7,E
241,Total renewable surface water,1987,1302.7,E
242,Total renewable surface water,1992,1302.7,E
243,Total renewable surface water,1997,1302.7,E
244,Total renewable surface water,2002,1302.7,E
245,Total renewable surface water,2007,1302.7,E
246,Total renewable surface water,2012,1302.7,E
247,Total renewable surface water,2017,1302.7,E
248,Total renewable surface water,2018,1302.7,E
249,Total renewable groundwater,1962,227.0,E
250,Total renewable groundwater,1967,227.0,E
251,Total renewable groundwater,1972,227.0,E
252,Total renewable groundwater,1977,227.0,E
253,Total renewable groundwater,1982,227.0,E
254,Total renewable groundwater,1987,227.0,E
255,Total renewable groundwater,1992,227.0,E
256,Total renewable groundwater,1997,227.0,E
257,Total renewable groundwater,2002,227.0,E
258,Total renewable groundwater,2007,227.0,E
259,Total renewable groundwater,2012,227.0,E
260,Total renewable groundwater,2017,227.0,E
261,Total renewable groundwater,2018,227.0,E
262,Water resources: total external renewable,1962,520.0,E
263,Water resources: total external renewable,1967,520.0,E
264,Water resources: total external renewable,1972,520.0,E
265,Water resources: total external renewable,1977,520.0,E
266,Water resources: total external renewable,1982,520.0,E
267,Water resources: total external renewable,1987,520.0,E
268,Water resources: total external renewable,1992,520.0,E
269,Water resources: total external renewable,1997,520.0,E
270,Water resources: total external renewable,2002,520.0,E
271,Water resources: total external renewable,2007,520.0,E
272,Water resources: total external renewable,2012,520.0,E
273,Water resources: total external renewable,2017,520.0,E
274,Water resources: total external renewable,2018,520.0,E
275,Total renewable water resources,1962,1325.0,E
276,Total renewable water resources,1967,1325.0,E
277,Total renewable water resources,1972,1325.0,E
278,Total renewable water resources,1977,1325.0,E
279,Total renewable water resources,1982,1325.0,E
280,Total renewable water resources,1987,1325.0,E
281,Total renewable water resources,1992,1325.0,E
282,Total renewable water resources,1997,1325.0,E
283,Total renewable water resources,2002,1325.0,E
284,Total renewable water resources,2007,1325.0,E
285,Total renewable water resources,2012,1325.0,E
286,Total renewable water resources,2017,1325.0,E
287,Total renewable water resources,2018,1325.0,E
288,Total renewable water resources per capita,1962,151553.676823737,E
289,Total renewable water resources per capita,1967,127898.900986462,E
290,Total renewable water resources per capita,1972,109525.005343994,E
291,Total renewable water resources per capita,1977,94884.2766298451,E
292,Total renewable water resources per capita,1982,82721.6457824166,E
293,Total renewable water resources per capita,1987,72671.5088744253,E
294,Total renewable water resources per capita,1992,64452.7887700185,E
295,Total renewable water resources per capita,1997,58017.9924084442,E
296,Total renewable water resources per capita,2002,52787.9865538441,E
297,Total renewable water resources per capita,2007,48628.1182092668,E
298,Total renewable water resources per capita,2012,45128.1412719944,E
299,Total renewable water resources per capita,2017,45064.219744155,E
300,Total renewable water resources per capita,2018,45868.19633582,E
301,Total agricultural water managed area,1992,489.8666666667,I
302,Total agricultural water managed area,1997,556.8111111111,I
303,Total agricultural water managed area,2002,764.24,E
304,Total agricultural water managed area,2007,1006.79,E
305,Total agricultural water managed area,2012,1055.3,E
306,Total agricultural water managed area,2017,1055.3,E
307,Total agricultural water managed area,2018,1055.3,E
308,Area equipped for irrigation: total,1992,489.8666666667,I
309,Area equipped for irrigation: total,1997,556.8111111111,I
310,Area equipped for irrigation: total,2002,764.24,E
311,Area equipped for irrigation: total,2007,1006.79,E
312,Area equipped for irrigation: total,2012,1055.3,E
313,Area equipped for irrigation: total,2017,1055.3,E
314,Area equipped for irrigation: total,2018,1055.3,E
315,% of agricultural GVA produced by irrigated agriculture,2002,24.5748010817,E
316,% of agricultural GVA produced by irrigated agriculture,2007,36.4558686502,E
317,% of agricultural GVA produced by irrigated agriculture,2012,39.3713341232,E
318,% of agricultural GVA produced by irrigated agriculture,2017,39.3713341232,E
319,% of agricultural GVA produced by irrigated agriculture,2018,39.3713341232,E
320,Ratio between rainfed and irrigated yields,1962,1.54,E
321,Ratio between rainfed and irrigated yields,1967,1.54,E
322,Ratio between rainfed and irrigated yields,1972,1.54,E
323,Ratio between rainfed and irrigated yields,1977,1.54,E
324,Ratio between rainfed and irrigated yields,1982,1.54,E
325,Ratio between rainfed and irrigated yields,1987,1.54,E
326,Ratio between rainfed and irrigated yields,1992,1.54,E
327,Ratio between rainfed and irrigated yields,1997,1.54,E
328,Ratio between rainfed and irrigated yields,2002,1.54,E
329,Ratio between rainfed and irrigated yields,2007,1.54,I
330,Ratio between rainfed and irrigated yields,2012,1.54,E
331,Ratio between rainfed and irrigated yields,2017,1.54,I
332,Ratio between rainfed and irrigated yields,2018,1.54,I
333,Agricultural water withdrawal as % of total renewable water resources,1972,0.1528251572,I
334,Agricultural water withdrawal as % of total renewable water resources,1977,0.1790389937,I
335,Agricultural water withdrawal as % of total renewable water resources,1982,0.2052528302,I
336,Agricultural water withdrawal as % of total renewable water resources,1987,0.2314666667,I
337,Agricultural water withdrawal as % of total renewable water resources,1992,0.2576805031,I
338,Agricultural water withdrawal as % of total renewable water resources,1997,0.2838943396,I
339,Agricultural water withdrawal as % of total renewable water resources,2002,0.5743396226,I
340,Agricultural water withdrawal as % of total renewable water resources,2007,1.2611320755,E
341,Agricultural water withdrawal as % of total renewable water resources,2012,1.2611320755,I
342,Agricultural water withdrawal as % of total renewable water resources,2017,1.2611320755,I
343,Agricultural water withdrawal as % of total renewable water resources,2018,1.2611320755,I
344,Agricultural water withdrawal,1972,2.0249333333,I
345,Agricultural water withdrawal,1977,2.3722666667,I
346,Agricultural water withdrawal,1982,2.7196,I
347,Agricultural water withdrawal,1987,3.0669333333,I
348,Agricultural water withdrawal,1992,3.4142666667,I
349,Agricultural water withdrawal,1997,3.7616,I
350,Agricultural water withdrawal,2002,7.61,I
351,Agricultural water withdrawal,2007,16.71,E
352,Agricultural water withdrawal,2012,16.71,I
353,Agricultural water withdrawal,2017,16.71,I
354,Agricultural water withdrawal,2018,16.71,I
355,Irrigation water requirement,2012,6.472,I
356,Irrigation water requirement,2017,6.472,I
357,Irrigation water requirement,2018,6.472,I
358,Irrigation water withdrawal,2012,16.71,I
359,Irrigation water withdrawal,2017,16.71,I
360,Irrigation water withdrawal,2018,16.71,I
361,Municipal water withdrawal,1972,1.9395333333,I
362,Municipal water withdrawal,1977,2.3808666667,I
363,Municipal water withdrawal,1982,2.8222,I
364,Municipal water withdrawal,1987,3.2635333333,I
365,Municipal water withdrawal,1992,3.7048666667,I
366,Municipal water withdrawal,1997,4.1462,I
367,Municipal water withdrawal,2002,4.6958,I
368,Municipal water withdrawal,2007,5.123,I
369,Municipal water withdrawal,2012,5.123,I
370,Municipal water withdrawal,2017,5.123,I
371,Municipal water withdrawal,2018,5.123,I
372,Industrial water withdrawal,1972,0.4664733333,I
373,Industrial water withdrawal,1977,0.5051566667,I
374,Industrial water withdrawal,1982,0.54384,I
375,Industrial water withdrawal,1987,0.5825233333,I
376,Industrial water withdrawal,1992,0.6212066667,I
377,Industrial water withdrawal,1997,0.65989,I
378,Industrial water withdrawal,2002,0.72718,I
379,Industrial water withdrawal,2007,0.7933,I
380,Industrial water withdrawal,2012,0.7933,I
381,Industrial water withdrawal,2017,0.7933,I
382,Industrial water withdrawal,2018,0.7933,I
383,Total water withdrawal,1972,4.43094,I
384,Total water withdrawal,1977,5.25829,I
385,Total water withdrawal,1982,6.08564,I
386,Total water withdrawal,1987,6.91299,I
387,Total water withdrawal,1992,7.74034,I
388,Total water withdrawal,1997,8.56769,I
389,Total water withdrawal,2002,13.03298,E
390,Total water withdrawal,2007,22.6263,E
391,Total water withdrawal,2012,22.6263,E
392,Total water withdrawal,2017,22.6263,E
393,Total water withdrawal,2018,22.6263,E
394,Total freshwater withdrawal,1972,4.4305933333,I
395,Total freshwater withdrawal,1977,5.25829,E
396,Total freshwater withdrawal,1982,6.08564,E
397,Total freshwater withdrawal,1987,6.91299,E
398,Total freshwater withdrawal,1992,7.73514,E
399,Total freshwater withdrawal,1997,8.56249,E
400,Total freshwater withdrawal,2002,13.02778,E
401,Total freshwater withdrawal,2007,22.6211,E
402,Total freshwater withdrawal,2012,22.6211,E
403,Total freshwater withdrawal,2017,22.6211,E
404,Total freshwater withdrawal,2018,22.6211,E
405,Desalinated water produced,1992,0.0052,I
406,Desalinated water produced,1997,0.0052,I
407,Desalinated water produced,2002,0.0052,I
408,Desalinated water produced,2006,0.0052,I
409,Desalinated water produced,2012,0.0052,I
410,Desalinated water produced,2017,0.0052,I
411,Desalinated water produced,2018,0.0052,I
412,Produced municipal wastewater,1997,2.903,I
413,Produced municipal wastewater,2002,2.903,I
414,Produced municipal wastewater,2007,2.903,I
415,Produced municipal wastewater,2012,2.903,I
416,Produced municipal wastewater,2017,2.903,I
417,Produced municipal wastewater,2018,2.903,I
418,Treated municipal wastewater,2012,0.93,I
419,Treated municipal wastewater,2017,0.93,I
420,Treated municipal wastewater,2018,0.93,I
433,SDG 6.4.2. Water Stress,1972,1.4768644444,E
434,SDG 6.4.2. Water Stress,1977,1.7527633333,E
435,SDG 6.4.2. Water Stress,1982,2.0285466667,E
436,SDG 6.4.2. Water Stress,1987,2.30433,E
437,SDG 6.4.2. Water Stress,1992,2.57838,E
438,SDG 6.4.2. Water Stress,1997,2.8543366667,E
439,SDG 6.4.2. Water Stress,2002,4.3425933333,E
440,SDG 6.4.2. Water Stress,2007,7.5403666667,E
441,SDG 6.4.2. Water Stress,2012,7.5403666667,E
442,SDG 6.4.2. Water Stress,2017,7.5403666667,E
443,SDG 6.4.2. Water Stress,2018,7.5403666667,E
444,SDG 6.4.1. Water Use Efficiency,2015,13.3927419898,I
445,SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,2015,0.4645287628,E
446,SDG 6.4.1. Industrial Water Use Efficiency,2015,120.957925699,E
447,SDG 6.4.1. Services Water Use Efficiency,2015,38.9049385126,E
448,Harvested irrigated temporary crop area: Rice,2012,148.9,I
449,Harvested irrigated temporary crop area: Rice,2017,148.9,I
450,Harvested irrigated temporary crop area: Rice,2018,148.9,I
451,Harvested irrigated temporary crop area: Maize,2012,59.41,I
452,Harvested irrigated temporary crop area: Maize,2017,59.41,I
453,Harvested irrigated temporary crop area: Maize,2018,59.41,I
454,Harvested irrigated temporary crop area: Sorghum,2012,12.75,I
455,Harvested irrigated temporary crop area: Sorghum,2017,12.75,I
456,Harvested irrigated temporary crop area: Sorghum,2018,12.75,I
457,Harvested irrigated temporary crop area: Potatoes,2012,13.13,I
458,Harvested irrigated temporary crop area: Potatoes,2017,13.13,I
459,Harvested irrigated temporary crop area: Potatoes,2018,13.13,I
460,Harvested irrigated temporary crop area: Sweet potatoes,2012,0.6,I
461,Harvested irrigated temporary crop area: Sweet potatoes,2017,0.6,I
462,Harvested irrigated temporary crop area: Sweet potatoes,2018,0.6,I
463,Harvested irrigated temporary crop area: Cassava,2012,5.277,I
464,Harvested irrigated temporary crop area: Cassava,2017,5.277,I
465,Harvested irrigated temporary crop area: Cassava,2018,5.277,I
466,Harvested irrigated temporary crop area: Other roots and tubers,2012,8.1,I
467,Harvested irrigated temporary crop area: Other roots and tubers,2017,8.1,I
468,Harvested irrigated temporary crop area: Other roots and tubers,2018,8.1,I
469,Harvested irrigated permanent crop area: Plantains,2012,14.6,I
470,Harvested irrigated permanent crop area: Plantains,2017,14.6,I
471,Harvested irrigated permanent crop area: Plantains,2018,14.6,I
472,Harvested irrigated temporary crop area: Sugarcane,2012,87.51,I
473,Harvested irrigated temporary crop area: Sugarcane,2017,87.51,I
474,Harvested irrigated temporary crop area: Sugarcane,2018,87.51,I
475,Harvested irrigated temporary crop area: Leguminous crops,2012,4.1,I
476,Harvested irrigated temporary crop area: Leguminous crops,2017,4.1,I
477,Harvested irrigated temporary crop area: Leguminous crops,2018,4.1,I
478,Harvested irrigated temporary crop area: Vegetables,2012,23.1,I
479,Harvested irrigated temporary crop area: Vegetables,2017,23.1,I
480,Harvested irrigated temporary crop area: Vegetables,2018,23.1,I
481,Harvested irrigated permanent crop area: Bananas,2012,23.78,I
482,Harvested irrigated permanent crop area: Bananas,2017,23.78,I
483,Harvested irrigated permanent crop area: Bananas,2018,23.78,I
484,Harvested irrigated permanent crop area: Citrus,2012,38.21,I
485,Harvested irrigated permanent crop area: Citrus,2017,38.21,I
486,Harvested irrigated permanent crop area: Citrus,2018,38.21,I
487,Harvested irrigated permanent crop area: Cocoa beans,2012,26.6,I
488,Harvested irrigated permanent crop area: Cocoa beans,2017,26.6,I
489,Harvested irrigated permanent crop area: Cocoa beans,2018,26.6,I
490,Harvested irrigated permanent crop area: Coffee,2012,34.81,I
491,Harvested irrigated permanent crop area: Coffee,2017,34.81,I
492,Harvested irrigated permanent crop area: Coffee,2018,34.81,I
493,Harvested irrigated temporary crop area: Tobacco,2012,1.0,I
494,Harvested irrigated temporary crop area: Tobacco,2017,1.0,I
495,Harvested irrigated temporary crop area: Tobacco,2018,1.0,I
496,Harvested irrigated temporary crop area: Cotton,2012,1.6,I
497,Harvested irrigated temporary crop area: Cotton,2017,1.6,I
498,Harvested irrigated temporary crop area: Cotton,2018,1.6,I
499,Harvested irrigated permanent crop area: Oil palm,2012,26.12,I
500,Harvested irrigated permanent crop area: Oil palm,2017,26.12,I
501,Harvested irrigated permanent crop area: Oil palm,2018,26.12,I
502,Harvested irrigated temporary crop area: Soybeans,2012,0.5,I
503,Harvested irrigated temporary crop area: Soybeans,2017,0.5,I
504,Harvested irrigated temporary crop area: Soybeans,2018,0.5,I
505,Harvested irrigated temporary crop area: Sunflower,2012,0.3,I
506,Harvested irrigated temporary crop area: Sunflower,2017,0.3,I
507,Harvested irrigated temporary crop area: Sunflower,2018,0.3,I
508,Harvested irrigated temporary crop area: Sesame,2012,0.6,I
509,Harvested irrigated temporary crop area: Sesame,2017,0.6,I
510,Harvested irrigated temporary crop area: Sesame,2018,0.6,I
511,Harvested irrigated permanent crop area: Coconuts,2012,5.775,I
512,Harvested irrigated permanent crop area: Coconuts,2017,5.775,I
513,Harvested irrigated permanent crop area: Coconuts,2018,5.775,I
514,Harvested irrigated temporary crop area: Flowers,2012,1.4,I
515,Harvested irrigated temporary crop area: Flowers,2017,1.4,I
516,Harvested irrigated temporary crop area: Flowers,2018,1.4,I
517,Harvested irrigated temporary crop area: Other crops,2012,57.78,I
518,Harvested irrigated temporary crop area: Other crops,2017,57.78,I
519,Harvested irrigated temporary crop area: Other crops,2018,57.78,I
520,Harvested irrigated permanent crop area: Other crops,2012,87.12,I
521,Harvested irrigated permanent crop area: Other crops,2017,87.12,I
522,Harvested irrigated permanent crop area: Other crops,2018,87.12,I
